prediction,Promedio,Desviación,Máximo,Mínimo
0,82.50203238385456,10.631032727375162,114.0,47.0
1,71.05030685604068,10.257511135596726,112.0,49.0
2,36.0528697407389,12.151160044491256,55.0,1.0
3,65.69436020218143,14.096422277095325,112.0,26.0
