prediction,Promedio,Desviación,Máximo,Mínimo
0,11.847713245358056,6.655735518907808,23.0,0.0
1,11.779835174469577,6.7044497641270775,23.0,0.0
2,11.810310881686272,6.942796085817443,23.0,0.0
3,11.758752327746741,6.740627504300753,23.0,0.0
