prediction,Promedio,Desviación,Máximo,Mínimo
0,1.8650930971257391,2.4306767893204864,8.0,0.0
1,7.269588374539716,2.078462434217759,12.5,2.0
2,9.174533842921196,3.834743961272716,20.0,0.0
3,16.42151503059324,2.182663174870741,20.0,12.5
