prediction,Promedio,Desviación,Máximo,Mínimo
0,2.2067428929438484,2.6835318256872704,11.0,0.0
3,6.25200411249218,2.165226722974792,9.5,0.0
1,9.565436270762389,3.824169767051213,20.0,0.0
2,14.770216962524655,3.074998426877923,20.0,11.0
