Enero	64821
Julio	54591
Mayo	56291
Octubre	55145
Mes no especificado	356
Septiembre	52563
Diciembre	60539
Febrero	63944
Junio	51637
Marzo	62305
Agosto	54415
Abril	53451
Noviembre	55708
